name,pubCode,description,startDate,endDate
"div.identificationQualifier","cf. species","Roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. species","Similar to, but is not the species",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. genus","Roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. genus","Similar to, but is not the genus",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. subspecies","Roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. subspecies","Similar to, but is not the subspecies",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. family","Roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. family","Similar to, but is not the family",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. variety","Roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. variety","Similar to, but is not the variety",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. species","roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. species","similar to but is not the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. genus","roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. genus","similar to but is not the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. subspecies","roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. subspecies","similar to but is not the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. family","roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. family","similar to but is not the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. variety","roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. variety","similar to but is not the variety",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","mandibular - QNS","Blood collected from the submandibular vein; quantity not sufficient (QNS) for pathogen analysis",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","mandibular","mandibular",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","retroorbital","retroorbital",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","unsuccessful","unsuccessful",2012-01-01T00:00:00Z,
"mam.fate","dead","dead",2012-01-01T00:00:00Z,
"mam.fate","escaped","escaped",2012-01-01T00:00:00Z,
"mam.fate","processed","processed",2012-01-01T00:00:00Z,
"mam.fate","nontarget","nontarget",2012-01-01T00:00:00Z,
"mam.fate","released","released",2012-01-01T00:00:00Z,
"mam.hairSampleContents","hairOnly","Sample includes only hairs collected from back of neck",2012-01-01T00:00:00Z,
"mam.hairSampleContents","whiskerOnly","Sample includes only whiskers",2012-01-01T00:00:00Z,
"mam.hairSampleContents","hairAndWhisker","Sample includes both whiskers and hairs collected from back of neck",2012-01-01T00:00:00Z,
"mam.identificationReferences","D02 - Whitaker 2005","Whitaker, J. O. 2005. National Audubon Society Field Guide to North American Mammals. Alfred A. Knopf, New York, NY.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D11 - Schmidly 2004","Schmidly, D. J. 2004. The Mammals of Texas. Revised Ed. University of Texas Press, Austin, TX.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D16 - Nagorsen 2002","Nagorsen, D. W. 2002. An identification manual to the small mammals of British Columbia. Ministry of Sustainable Resource Management, Ministry of Water, Land and Air Protection, and Royal British Columbia Museum, Victoria, British Columbia. 153 pages.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D17 - Jameson & Peeters 2004","Jameson, E. W., and H. J. Peeters. 2004. Mammals of California. Revised Ed. California Natural History Guide Series No. 66. University of California Press, Berkeley, CA.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.","Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Best, T. L., and J. L. Dusi. 2014. Mammals of Alabama. The University of Alabama Press, Tuscaloosa.","Best, T. L., and J. L. Dusi. 2014. Mammals of Alabama. The University of Alabama Press, Tuscaloosa.",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.001907","NEON.DOC.001907",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.001908","NEON.DOC.001908",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.001909","NEON.DOC.001909",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.001911","NEON.DOC.001911",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.001912","NEON.DOC.001912",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.001914","NEON.DOC.001914",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.002167","NEON.DOC.002167",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.003135","NEON.DOC.003135",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.003136","NEON.DOC.003136",2012-01-01T00:00:00Z,
"mam.identificationReferences","NEON.DOC.003137","NEON.DOC.003137",2012-01-01T00:00:00Z,
"mam.identificationReferences","D05 â€“ Tekiela 2005","Tekiela, S. 2005. Mammals of Wisconsin Field Guide. Adventure Publications, Cambridge, MN.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D09 - Seabloom 2011","Seabloom, R. W., J. W. Hoganson, and W. F. Jensen. 2011. The mammals of North Dakota. Institute for Regional Studies, NDSU, Fargo, N.D.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D05 - Long 2008","Long, C. A. 2008. The wild mammals of Wisconsin. Pensoft, Sofia.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D11 - Caire et al. 1989","Caire; W.; J. D. Tyler; B. P. Glass; and M. A. Mares. 1989. Mammals of Oklahoma. 1st Ed. University of Oklahoma Press; Norman; OK.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D14 - Frey 2007","Frey; J. K. 2007. Key to the Rodents of New Mexico. Conservation Services Division; New Mexico Department of Game and Fish; Santa Fe; NM.",2012-01-01T00:00:00Z,
"mam.identificationReferences","D07 - NEON.DOC.001910","NEON.DOC.001910",2012-01-01T00:00:00Z,
"mam.identificationReferences","D10 - NEON.DOC.001913","NEON.DOC.001913",2012-01-01T00:00:00Z,
"mam.identificationReferences","D12 - NEON.DOC.003138","NEON.DOC.003138",2012-01-01T00:00:00Z,
"mam.identificationReferences","D13 - NEON.DOC.003139","NEON.DOC.003139",2012-01-01T00:00:00Z,
"mam.identificationReferences","D14 - NEON.DOC.003140","NEON.DOC.003140",2012-01-01T00:00:00Z,
"mam.identificationReferences","D17 - NEON.DOC.003141","NEON.DOC.003141",2012-01-01T00:00:00Z,
"mam.identificationReferences","D18_19 - NEON.DOC.003142","NEON.DOC.003142",2012-01-01T00:00:00Z,
"mam.identificationReferences","D16 - NEON.DOC.003143","NEON.DOC.003143",2012-01-01T00:00:00Z,
"mam.identificationReferences","D07 - Whitaker 2000","Whitaker, J.O. 2000. National Audubon Society Field Guide to North American Mammals. Alfred A. Knopf, New York, NY.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Kaufman, K., R. Bowers, and N. Bowers. 2007. Kaufman Field Guide to Mammals of North America. 12th Ed. Houghton Mifflin Company, New York, NY.","Kaufman, K., R. Bowers, and N. Bowers. 2007. Kaufman Field Guide to Mammals of North America. 12th Ed. Houghton Mifflin Company, New York, NY.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Other (describe in remarks)","Other (describe in remarks)",2012-01-01T00:00:00Z,
"mam.identificationReferences","Sievert and Sievert 2011","Sievert, G. and L. Sievert. 2011. A Field Guide to Oklahoma's Amphibians and Reptiles (3rd Edition). Oklahoma Dept. of Wildlife Conservation. OKC., OK. 211 p.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Turtles, Lizards, and Crocodilians: A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 352 pp.","Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Turtles, Lizards, and Crocodilians: A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 352 pp.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Frogs, Toads, and Other Amphibians A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 272 pp.","Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Frogs, Toads, and Other Amphibians A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 272 pp.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Brennan, T. C. and A. T. Holycross. 2006. A Field Guide to Amphibians and Reptiles in Arizona. Arizona Game and Fish Department.","Brennan, T. C. and A. T. Holycross. 2006. A Field Guide to Amphibians and Reptiles in Arizona. Arizona Game and Fish Department.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Conant, R., and J. T. Collins. 1998. A Field Guide to Reptiles and Amphibians: Eastern and Central North America. 3rd Ed. Houghton Mifflin Company, New York, NY.","Conant, R., and J. T. Collins. 1998. A Field Guide to Reptiles and Amphibians: Eastern and Central North America. 3rd Ed. Houghton Mifflin Company, New York, NY.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Gibbons, W., and M. Dorcas. 2005. Snakes of the Southeast. The University of Georgia Press, Athens, Georgia.","Gibbons, W., and M. Dorcas. 2005. Snakes of the Southeast. The University of Georgia Press, Athens, Georgia.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Harding, J.H. 1997. Amphibians and reptiles of the Great Lakes Region. University of Michigan Press, Ann Arbor, MI.","Harding, J.H. 1997. Amphibians and reptiles of the Great Lakes Region. University of Michigan Press, Ann Arbor, MI.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Mitchell, J. and Gibbons, W. 2010. Salamanders of the Southeast. Athens (GA): The University of Georgia Press","Mitchell, J. and Gibbons, W. 2010. Salamanders of the Southeast. Athens (GA): The University of Georgia Press",2012-01-01T00:00:00Z,
"mam.identificationReferences","Stebbins, R. C. and R. T. Peterson. 2003. A Peterson Field Guide to Western Reptiles and Amphibians. 3rd Ed. Houghton Mifflin Company, New York, NY.","Stebbins, R. C. and R. T. Peterson. 2003. A Peterson Field Guide to Western Reptiles and Amphibians. 3rd Ed. Houghton Mifflin Company, New York, NY.",2012-01-01T00:00:00Z,
"mam.identificationReferences","Tennessee Watchable Wildlife http://www.tnwatchablewildlife.org/Amphibians.cfm","Tennessee Watchable Wildlife http://www.tnwatchablewildlife.org/Amphibians.cfm",2012-01-01T00:00:00Z,
"mam.identificationReferences","Powell, R., R. Conant, and J.T. Collins. 2016. Peterson Field Guide to Reptiles and Amphibians of Eastern and Central North America. 4th Ed. Houghton Mifflin Company, New York, NY.","Powell, R., R. Conant, and J.T. Collins. 2016. Peterson Field Guide to Reptiles and Amphibians of Eastern and Central North America. 4th Ed. Houghton Mifflin Company, New York, NY.",2012-01-01T00:00:00Z,
"mam.lifeStage","adult","adult",2012-01-01T00:00:00Z,
"mam.lifeStage","juvenile","juvenile",2012-01-01T00:00:00Z,
"mam.lifeStage","subadult","subadult",2012-01-01T00:00:00Z,
"mam.lifeStage","unknown","Unknown",2012-01-01T00:00:00Z,
"mam.nipples","enlarged","enlarged",2012-01-01T00:00:00Z,
"mam.nipples","nonenlarged","nonenlarged",2012-01-01T00:00:00Z,
"mam.nipples","unknown","Assessment of nipples attempted but unable to be determined",2012-01-01T00:00:00Z,
"mam.pregnancyStatus","pregnant","pregnant",2012-01-01T00:00:00Z,
"mam.pregnancyStatus","not","not",2012-01-01T00:00:00Z,
"mam.pregnancyStatus","unknown","Assessment of pregnancy status attempted but unable to be determined",2012-01-01T00:00:00Z,
"mam.recapture","Y","Y",2012-01-01T00:00:00Z,
"mam.recapture","N","N",2012-01-01T00:00:00Z,
"mam.recapture","U","unknown",2012-01-01T00:00:00Z,
"mam.testes","scrotal","scrotal",2012-01-01T00:00:00Z,
"mam.testes","nonscrotal","nonscrotal",2012-01-01T00:00:00Z,
"mam.testes","unknown","Assessment of testes attempted but unable to be determined",2012-01-01T00:00:00Z,
"mam.tickNumber","1-5","1-5 ticks",2019-12-01T00:00:00Z,
"mam.tickNumber","6-20","6-20 ticks",2019-12-01T00:00:00Z,
"mam.tickNumber",">20",">20 ticks",2019-12-01T00:00:00Z,
"mam.tickNumber","No count performed","ticks could not be counted",2019-12-01T00:00:00Z,
"mam.trapStatus","1 - trap not set","1 - trap not set",2012-01-01T00:00:00Z,
"mam.trapStatus","2 - trap disturbed/door closed but empty","2 - trap disturbed/door closed but empty",2012-01-01T00:00:00Z,
"mam.trapStatus","3 - trap door open or closed w/ spoor left","3 - trap door open or closed w/ spoor left",2012-01-01T00:00:00Z,
"mam.trapStatus","4 - more than 1 capture in one trap","4 - more than 1 capture in one trap",2012-01-01T00:00:00Z,
"mam.trapStatus","5 - capture","5 - capture",2012-01-01T00:00:00Z,
"mam.trapStatus","6 - trap set and empty","6 - trap set and empty",2012-01-01T00:00:00Z,
"mam.trapType","ShermanLF","ShermanLF",2012-01-01T00:00:00Z,
"mam.trapType","ShermanXLF","ShermanXLF",2012-01-01T00:00:00Z,
"mam.trapType","ShermanXLK","ShermanXLK",2012-01-01T00:00:00Z,
"mam.trapType","Double ShermanXLK","Double ShermanXLK",2012-01-01T00:00:00Z,
"mam.trapType","Tomahawk201","Tomahawk201",2012-01-01T00:00:00Z,
"mam.trapType","small mammal box trap","small mammal box trap",2012-01-01T00:00:00Z,
"mam.vagina","swollen","swollen",2012-01-01T00:00:00Z,
"mam.vagina","plugged","plugged",2012-01-01T00:00:00Z,
"mam.vagina","neither","neither",2012-01-01T00:00:00Z,
"mam.vagina","unknown","Assessment of vagina attempted but unable to be determined",2012-01-01T00:00:00Z,
"Native Status Codes","N","N",2012-01-01T00:00:00Z,
"Native Status Codes","NQ","NQ",2012-01-01T00:00:00Z,
"Native Status Codes","NI","NI",2012-01-01T00:00:00Z,
"Native Status Codes","NIQ","NIQ",2012-01-01T00:00:00Z,
"Native Status Codes","GP","GP",2012-01-01T00:00:00Z,
"Native Status Codes","GPQ","GPQ",2012-01-01T00:00:00Z,
"Native Status Codes","I","I",2012-01-01T00:00:00Z,
"Native Status Codes","IQ","IQ",2012-01-01T00:00:00Z,
"Native Status Codes","NQI","NQI",2012-01-01T00:00:00Z,
"Native Status Codes","W","W",2012-01-01T00:00:00Z,
"Native Status Codes","WQ","WQ",2012-01-01T00:00:00Z,
"Native Status Codes","UNK","UNK",2012-01-01T00:00:00Z,
"Native Status Codes","A","A",2012-01-01T00:00:00Z,
"Native Status Codes","FEDERAL","FEDERAL",2012-01-01T00:00:00Z,
"Native Status Codes","STATE","STATE",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"sex","M","M",2012-01-01T00:00:00Z,
"sex","F","F",2012-01-01T00:00:00Z,
"sex","U","Unknown",2012-01-01T00:00:00Z,
